Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
7,"Linkin Barrel","A-501, The Capital Building, A Wing, Baner-Pashan Link Road, Baner, Pune",1300,"4.3"
8,"Tales & Spirits","Shop 6-8, D Building, Park Grandeur, Balewadi High Street, Baner, Pune",1200,"4.3"
9,"Malaka Spice","1st Floor, Atria Building, Baner Road, Baner, Pune",1800,"4.3"
10,"Kerala Cafe","Near Vasudha House, Baner Gaon Kamaan, Baner Road, Baner, Pune",700,"4.3"
11,"Poona Republic","Shop 4, Sai Empire, Baner Main Road, Baner, Pune",1500,"4.3"
12,"1BHK Superbar","Shop C2 3/4, Emirus, 107, Lane Next To Syngenta IT Park, Near D Mart, Baner, Pune",2200,"4.3"
13,"The Asian Box Resto Bar","LG 1, Siddh Icon Building, Opposite Furniture Mall, Baner-Road, Baner, Pune",1200,"4.3"
14,"I'm Lion, Strictly Non-Veg","Shop 1, Shubhamkaroti Building, Jadhav Nagar, Baner Road, Baner, Pune",800,"4.3"
15,"Brain Freeze Ice Cream & Desserts","Shop - 2, 3, 4, Shriram Bhavan, Balewadi Phata, Baner Road, Baner, Pune",150,"4.3"
16,"The Quick Wok","Shop 4, Winner's Window, Behind Vaishali, FC Road, Pune",600,"4.3"
17,"Tales & Spirits","Plot 64, Shivaji Housing Society, Senapati Bapat Road, Pune",1200,"4.3"
18,"Kerala Cafe","64, Barons Club, Lane 13, Opposite Joggers Park, Kalyani Nagar, Pune",700,"4.3"
19,"The Tipsy Duckling","Shop 2-3, Shubhankaroti Apartment, Suvarnabaug Colony, Opposite Business Hub, Karve Road, Kothrud, Pune",1300,"4.3"
0,"Effingut Brewerkz","Shop 4, Deron Heights, Next to Ranka Jewellers, Baner, Pune",2400,"4.6"
1,"1BHK Superbar","Shop C2 3/4, Emirus, 107, Lane Next To Syngenta IT Park, Near D Mart, Baner, Pune",2200,"4.3"
2,"Penthouze","Rooftop, Onyx Tower, Next to Westin Hotel, KP Annexe, Mundhwa Road, Mundhwa, Pune",2200,"4.0"
3,"Rock Salt : Sky Bar at Salt Kitch N Bar","Level 2, Signet Corner, Opposite Orchid International School, Baner, Pune",2000,"3.6"
4,"Anytime Coffee Shop","United-21 The Grand, Baner Hills, Baner, Pune",2000,"3.1"
5,"Malaka Spice","1st Floor, Atria Building, Baner Road, Baner, Pune",1800,"4.3"
6,"Playboy Beer Garden","26/27, Balewadi High Street, Balewadi-Baner Link Road, Baner, Pune",1800,"4.0"
7,"Area 51","Pancard Clubs, Baner Hills, Baner, Pune",1800,"3.7"
8,"45 HighBall","Survey 182/2/2, Shop 1, Dhankude Complex, Near Baner Kamaan, Baner, Pune",1800,"4.0"
9,"The Tap Room By Malaka Spice","1st Floor, Atria Building, Baner Road, Baner, Pune",1800,"4.0"
10,"Post 91 - Legends The Sports Bar","Level 9, Icon Tower, Baner, Pune",1800,"3.6"
11,"Malaka Spice","Lane 5, Opposite Oxford Properties, North Main Road, Koregaon Park, Pune",1800,"4.6"
12,"Gong","Shop 22/23, Balewadi High Street, Cummins India Office Campus, Baner- Balewadi Link Road, Baner, Pune",1700,"4.8"
13,"Urbo","Swati Park, Veerbhadra Nagar, Baner, Pune",1700,"4.2"
14,"Kaar-O-Bar","4/5th Floor, Kaarobar Sai Heritage Building, Opposite Orchid School, Baner, Pune",1700,"4.1"
15,"Terttulia Bistro","Shop 2, Balewadi High Street, Panchshil Business Park, Balewadi-Baner Link Road, Baner, Pune",1700,"4.1"
16,"Effingut Brewerkz","Lane Number 6, Koregaon Park, Pune",1700,"4.5"
17,"Effingut Brewerkz","World Trade Center, Kharadi, Pune",1700,"4.3"
18,"Raasta Cafe","135, Balewadi Phata, Beside Kalmakar TVS Showroom, Baner, Pune",1600,"3.8"
19,"Manali-Family Resto Bar","Survey 22/3, Lane Next to Syngneta It Park, Behind Cummins, Baner, Pune",1600,"3.9"
0,"Behrouz Biryani","Baner, Pune",700,"4.0"
1,"Chaitanya Paranthas","Shop 2, Laxmi Plaza, Opposite Primerose Mall, Baner, Pune",350,"3.7"
2,"Tsaai Sshen Yeh","Shop 3, Echelon Building, Baner-Sus Link Road, Baner, Pune",850,"4.1"
3,"1BHK Superbar","Shop C2 3/4, Emirus, 107, Lane Next To Syngenta IT Park, Near D Mart, Baner, Pune",2200,"4.3"
4,"Theos","Shop 4, Quadra, Behind Kapil Malhar Society, Baner, Pune",900,"4.0"
5,"Cabaret","Ground Floor, Aspirations, Baner Road, Baner, Pune",1300,"4.0"
6,"Rajwada","Survey 15/A, Kale Park, Someshwarwadi, Baner, Pune",1000,"2.6"
7,"BOX8- Desi Meals","Shop 915, Rajhans Building, Near Mane Jewellers, Baner, Pune",500,"4.1"
