Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
"Neighbor's Pickle","Old Mumbai- Pune Road, Near Labour Office, Wakdewadi, Near Shivaji Nagar, Pune",250,0
"Corn Club","6, Nirankar Apartment, 1133/5, FC Road, Pune",300,"3.9"
"Wagh Bakri Tea Lounge","Shop No. 4 Lower Ground, Amar Business Bay (Westside Building), Fergusson College Road, Opposite Sa, Pune, Pune",500,"4.0"
"Pavaroti's","1, Surmani Complex, Opposite HDFC Bank, Deep Banglow Chowk, Model Colony, Pune",200,"4.2"
"Tulsi Snacks Centre","1232, Apte Road, Shivaji Nagar, Pune",100,0
"Oriental Connexions","The E-Square Hotel, Level 5, 132 A, Pune University, Pune",1200,"4.3"
"SG-TastyBites","1206, Shirole Road, Opposite Sambhaji Garden 2nd Gate, Shivaji Nagar, Pune",150,"3.2"
"CAD (M) CAD (B)","The E-Square Hotel, Food Square, Level 2, Pune University Road, Shivaji Nagar, Pune",400,"2.9"
"I-POT Biryani","15/A Mumbai - Pune Highway, Wakdewadi, Shivaji Nagar, Pune",450,"3.1"
"Sunrise Snacks","Shop 4, 102/A, behind mangala talkies, Shivaji Nagar, Pune",200,0
"Daawat Fun Food","364 & 365/14, JM Road, Behind Bharat Petrol Pump, Pune, Shivaji Nagar, Pune",400,"2.8"
"Zen","1194/1, 29, Madhu Vrundavan Society, Morden College Road, Shivaji Nagar, Pune",1200,"3.2"
"Burgizza","Central Mall, Shivaji Nagar, Pune",350,"3.0"
"Kunjavan - Gandharv Residency","1291, Behind Gandharv Restaurant, Off JM Road, Shivaji Nagar, Pune",800,"3.2"
"The Live-In Room Cafe","The Room Fitness & Lifestyle Club, 1st Floor, Kakade Bizz Icon, Next to E-Square, University Road,  Shivaji Nagar, Pune",400,0
"Shivmalhar Bhurji Centre","P.M.C Deccan Gymkhana, Lakdi Pool, Shivaji Nagar, Pune",200,0
"The Royal Cafe & Fast Food (Arizona)","Ranjai Bunglow, Opposite ICICI Bank, Ghole Road, Shivaji Nagar, Pune",250,"2.9"
"Olympia Cafe","1342/43, Near Modern Cafe, Shivaji Nagar, Pune",400,"3.1"
"Chini Mini","Pune Central Mall, Ganeshkhind Road, Shivaji Nagar, Pune",350,"2.9"
"Hotel Dilip Pure Veg","Pragati Towers, Opposite ST Stand, Shivaji Nagar, Pune",400,"2.9"
"Kekiz The Cake Shop","Shop 3, Sahril Arced, JM Road, Shivaji Nagar, Pune",300,0
"The AV Foodmall","Shop 3, Bhosale Terrace, Behind Ghole Road Ward Office, Shivaji Nagar, Pune",300,"3.1"
"Oven & Grill's","Food Court, Pune Central Mall",350,"2.9"
"Hotel Classic","Gate  4, Shivaji Nagar Court, Shivaji Nagar, Pune",400,0
"Alok Restaurant & Bar","Building 1340, Shivaji Nagar, Pune",550,0
"Adraq by OYO","364 & 365/14, Off.J.M.Road, Behind Bharat Petrol Pump, Shivaji Nagar, Pune",400,0
"Flavour Stones","Shop 3, Sulaxmi Chambers, Shivaji Nagar, Pune",400,0
"Wat-a-Biryani","3rd Floor Chinar Heights, Deep Bungalow Chowk, Model Colony, Shivaji Nagar, Pune",400,0
"The Travel Cafe","Plot 1, CTS 405/410, Chaitanya Housing Society, SB Road, Opposite Sai Capital, Shivaji Nagar, Pune",300,"3.8"
"Tea Post","JM Road, Near Aurelia 1/2 3, Ground Floor, Lokmat Bhavan, Shivaji Nagar, Pune",300,"3.4"
"FoodSway Caffe Express","Shop 09, Patrkar Nagar, 270 MSFC Compounds, SB Road Pune, Shivaji Nagar, Pune",300,"3.2"
"Capresso Coffee","5th Floor, Pune Central Mall, Ganeshkhind Road",300,"2.9"
"The Cafe Corner","Opposite Hero Honda Showroom, Wakdewadi, Shivaji Nagar, Pune",300,"3.1"
"Ganesh Bhel","Opposite Fergusson College Main Road, F C Road Shivaji Nagar, Pune",300,"3.1"
"Pizza.in","Shivaji Nagar, Pune",300,0
"Monginis","122, Shanti plaza, Ferguson College Road, Shivajinagar, Deccan Gymkhana, Pune",300,0
"CAD (M) CAD(B)","364/365, Near Bank Of Maharashtra, Shivaji Nagar, Pune",250,"3.6"
"Casablanca - Pride Hotel","Pride Hotel, University Road, Shivaji Nagar, Pune",1200,"3.8"
"Fountain Family Rest O Bar","Survey 364/65, Shivaji Road, Shivaji Nagar Pune",800,"3.6"
"Rahul Restaurant & Bar","70 MM Rahul Compound, Near Rahul Theater, Shivaji Nagar, Pune",1000,"3.8"
"It's Mirchi - Ramee Grand Hotel","Ramee Grand Hotel, 587/3, Apte Road, Shivaji Nagar, Pune",1800,"3.8"
"The Beer Cafe","Survey 430A/1, Unit 18, Second Floor, The Pavillion, Senapati Bapat Road, Shivaji Nagar, Pune",1500,"3.9"
"Sudama Bar & Restaurant","365/11, Shivaji Nagar, Pune",1000,"3.8"
"Joshi Wadewale","1281, Off Jangali Maharaj Road, Shivaji Nagar, Pune",200,"3.7"
"Arizona Restaurant","Ranjai Bunglow, Opposite ICICI Bank, Ghole Road, Shivaji Nagar, Pune",600,"3.7"
"The Travel Cafe","Plot 1, CTS 405/410, Chaitanya Housing Society, SB Road, Opposite Sai Capital, Shivaji Nagar, Pune",300,"3.8"
"Ooolala: All Day Cafe & Bar","Unit 3, Kakade Bizz Icon, Ganeshkhind Road, Next To E Ssuare Multiplex, Shivaji Nagar, Pune",1400,"4.0"
"Cafe Table Talk","1206/10A, Shirole Road, Opposite Kakade Capital, Shivaji Nagar, Pune",500,"3.6"
"McDonald's","CTS 2687B, Unit 201, Kakade Center Port, Bhamburda, Shivaji Nagar, Pune",500,"3.7"
"Ramsar Bakery","Opposite PMC Building, Shivaji Nagar, Pune",200,"3.5"
