Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
13,"Anand Veg","Survey 13/2, Bhosale House, Karve Road, Erandwane, Pune",600,"3.9"
14,"Nitrobuzz","Plot 62, Raghuraj, Ground Floor, Indira Nagar Society, Near Mehendale Garage, Erandwane, Pune",600,"3.8"
15,"Swami The Veg Heritage","Takshashila Hotels, Patil Road, Near Sanjeevan Hospital, Erandwane, Pune",600,"3.8"
16,"Aditya Pure Veg","Near Ranka Jewellers, Karve Road, Erandwane, Pune",600,"3.2"
17,"Manali Pure Veg","34, 4th Dimension Building, Patwardhan Baug, Erandwane, Pune",600,"3.0"
18,"95 Pasta n Pizza","Shop G8, Matai Chambers, Erandwana Gaothan, Erandwane",600,"3.1"
19,"Shrimant","Survey 30/2, Sitaram Apartments, Near Mehandale Garrage, Erandwane, Pune",600,"3.4"
0,"Aao Haveli Pe","Erandwana Gaothan, Erandwane, Pune",1000,"3.5"
1,"Shaukeen - The Complete Paan Shop","3, Meenal Arcade, Nalstop Chouk, Erandwane, Pune",50,"3.5"
2,"Aishwarya","Shop 8, Sriram Jyoti Housing Society, Opposite CDSS, Erandwane, Pune",200,"3.3"
3,"Nikhara Misal","Sahyadri Hospital, Karve Road, Erandwane, Pune",150,"2.7"
4,"Sangita Bhel & Pani Puri","Kamla Nehru Park, Ketkar Road, Erandwane, Pune",100,"3.5"
5,"Kafeneio","Behind Kirti Hardware, Near Dashbhuja Ganpati, Paud Phata, Erandwane, Pune",300,"3.3"
6,"Sarathi Veg Restaurant","62/9, Raj Wani Apartments, Opposite Sonal Hotel, Karve Road, Erandwane, Pune",400,"2.8"
7,"Box Dabeli","The Food Atm ,4th floor, GoodWill House, Above Nisarg Sea Food , Opp Padale Palace , Erandwane .",150,"2.4"
8,"Sai Chinese","50/A, Parvati Sadan, Shop 3, Near Mahadev Mandir, Erandwane, Pune",200,"3.1"
9,"Cafe Crush","Darekar Height, Karve Road, Opposite Garware College, Erandwane, Pune",300,"3.4"
10,"Sujata Mastani","Shop 7A, DP Road, Opposite Golden Leaf Lawn, Erandwane, Pune",200,"3.3"
11,"103- Shanghai Express","Epicenter, 83/12-A, Law College Road, Erandwane, Pune",500,"3.2"
12,"Laxmi Misal","Akhil Society, Pandurang Colony, Erandwane, Pune",200,"3.4"
13,"Cafe Durga","Shop 10, Bharat Vihar Society, Opposite Lok Karnataka High School, Ganesh Nagar, Erandwane, Pune",200,"2.8"
14,"Shreeram Paratha","Plot 16, In Front Of Tech Mahindra Nal Stop, Erandwane Karve Road, Erandwane, Pune",200,"3.3"
15,"Bawarchi","Krushna Kaumudi, Pawar Building, Behind Kalyan Jewelers, Nal Stop, Erandwane, Pune",400,"3.2"
16,"Sandwich Katta","Opposite to Deenanath Mangeshkar Hospital Main Gate,Indiranagar Society, Vakil Nagar, Erandwane, Pune",200,"3.0"
17,"The Wadapav Cafe","Plot 20, Shop B 20, Karve Road, Swapna Nagri, Erandwane, Pune",250,0
18,"Konkan Kitchen","Raja Mantri Road, Vakil Nagar, Erandwane, Pune, Pune",500,"3.1"
19,"Foodieram The Food Truck","Survey 14/4, 5, Plinth L-9, Erandwane Cooperative Housing Society, Erandawane, Pune",400,"3.1"
0,"Hotel Maratheshahi","Kalubai Mandir, Hingne Mala, Sasane Nagar, Hadapsar, Pune",600,"3.7"
1,"Sweekar Veg Restaurant","6/6, Chinoli Apartments, Karve Road, Erandwane, Pune",550,"3.7"
2,"Pavitra","18 A, Near New Karnataka High School, Ganeshnagar, Erandwane, Pune",550,"3.2"
3,"Divine Dish","Shop 10, Bharat Vihar Society, Opposite Karnatak High School, Erandwane, Pune",550,"3.5"
4,"Siddhi Veg - Non Veg","Shop 3, Mangesh Park Society, Behind New Karnatak High School, Erandwane, Pune",550,"3.7"
5,"Surya","5 A/3, Laxminarayan Nagar, Patwardhan Baug, Erandwane, Pune",550,"3.4"
6,"Shree Krishna Veg Non Veg","Shop Number 5&6, Sharda Apartment, Inside Sharda Center, Erandwane, Pune",550,"3.2"
7,"McDonald's","Pune Central Mall, Near Garware College, Erandwane, Pune",500,"3.4"
8,"Cafe Windchamps","Shop 2, Akhil Cooperative Society, Near Kedar Empire Karve Road, Erandwane, Pune",500,"3.4"
9,"Hotel Naaz Veg Non Veg","Survey 31/1, Amrut Building, Karve Road, Erandwane, Pune",500,"3.3"
10,"103- Shanghai Express","Epicenter, 83/12-A, Law College Road, Erandwane, Pune",500,"3.2"
11,"Konkan Kitchen","Raja Mantri Road, Vakil Nagar, Erandwane, Pune, Pune",500,"3.1"
12,"Pizzitos","C-Wing, Shrinwas Villa, Near CDSS, Erandwane, Pune",500,"3.1"
13,"Hotel Tanjavar","Near Sahyadri Hospital, Opposite Garware College, Karve Road, Erandwane, Pune",500,"3.2"
14,"Nimish Seafoods","143, Dattawadi, Near Mhatre Bridge, Bal Shivaji Chawk, Erandwane, Pune",500,0
15,"Healthy Tadka","DTC, Reliance Mall, Erandwane, Pune",481,"3.7"
16,"Hrishikesh Seafoods","Shop 143, Dattawadi, Mhatre Bridge Corner, Erandwane, Pune",450,"3.9"
17,"Aarya Biryani House","Survey 220/8, Ganesh Nagar, Near Dinanath Mangeshkar Hospital, Erandwane, Pune",450,"3.0"
18,"Cafe U n Me","Shop 6, City Center, Opposite Ayurvedic Ras-shala, Near Garware College, Karve Road, Erandwane, Pune",450,0
19,"Pathan Laziz Biryani House","Kajale Heights Complex, Next to Kirti Hardware Store, Near Dashbhuja Ganpati, Paud Phata, Erandwane, Pune",400,"3.6"
0,"Leafy Trails","21/1, Ushakal Bungalow, Swapna Mandir Society, Opposite New Karnatak High School, Bamboo Lane, Erandwane, Pune",400,"3.7"
1,"Cafe Bon Appetit","Shop 3, Shankarchya Society, Near Mhatre Bridge, Erandwane, Pune",400,"3.4"
2,"Cafe CrunChiz","Survey 104/1/1, Bharatkunj - 2, Erandwane, Pune",400,"3.4"
3,"Sarathi Veg Restaurant","62/9, Raj Wani Apartments, Opposite Sonal Hotel, Karve Road, Erandwane, Pune",400,"2.8"
4,"Bawarchi","Krushna Kaumudi, Pawar Building, Behind Kalyan Jewelers, Nal Stop, Erandwane, Pune",400,"3.2"
5,"Foodieram The Food Truck","Survey 14/4, 5, Plinth L-9, Erandwane Cooperative Housing Society, Erandawane, Pune",400,"3.1"
6,"Dine Wise","Shanti Sheela Society, Near Institute Law College Road, Erandwane, Pune",400,"3.3"
7,"Aachari Snacks & Paratha House","Survey 42, Near Dhashapuja Ganpati Temple, Paud Fatak, Karve Road, Erandwane, Pune",400,0
8,"Swaraj Matnawal And Snacks Centre","Stall 6, Opposite Prerna Society, Erandwane, Pune",400,0
9,"Kraftd Food Solutions","Erandwane, Pune",400,0
10,"Hyderabadi King Dum Box Biryani","Survey 884/7, Shop 7, Meenal Arcade, Nal Stop, Erandwane, Pune",400,0
11,"Neo's Cafe","Shop 1, Soba Mansion Erandwane Gaothan, Deccan Gymkhana, Pune",400,"3.2"
12,"Puneri Garden & Restaurant","Near Erandwane Police Chowky, Erandwane, Pune",400,0
13,"Café Paradise","31/1 Amrut Building, Opposite Sahyadri Hospital,  Erandwane, Pune",350,"2.8"
14,"Jara Hatke","Saraswati Apartment, HP Petrol Pump Lane, Opposition Karve Road, Near Sinhgad Institute, Erandwane, Pune",350,0
15,"The Burrow","1 & 5, Pinnac Apartment, Behind Mukherjee Garden, Erandwane, Pune",350,0
16,"16 Icy Rolls","Shop 5, Meenal Arcade, Nal Stop, Erandwane, Pune",300,"3.7"
17,"Best Belgian waffle","Shop 5, Meenal Arcade, Nal Stop Chowk, Pandurang Colony, Khilare Road, Erandwane, Pune",300,"4.1"
18,"Amruteshwar","Apex Colony, Warje Malwadi Road, Abhinav Chowk, Nal Stop, Erandwane, Pune",300,"3.5"
19,"The Betel Leaf","Shop 6, Minal Arcade, Building C, Near Samudra Hotel, Nal Stop, Erandwane, Pune",300,"3.9"
0,"The Betel Leaf","Shop 6, Minal Arcade, Building C, Near Samudra Hotel, Nal Stop, Erandwane, Pune",300,"3.9"
1,"Oye Bubbly","Shop 3, Kishori Park, Near Karnataka High School, Erandwane, Pune",200,"3.9"
2,"Hrishikesh Seafoods","Shop 143, Dattawadi, Mhatre Bridge Corner, Erandwane, Pune",450,"3.9"
3,"Vishnuji Ki Rasoi","Mhatre Bridge, Near Siddhi Garden, DP Road, Erandwane, Pune",700,"3.8"
4,"Shrinidhi's Hyderabadi Spice","Survey 11/4, Butte Bhavan, Opposite Kasat Saree Centre, Karve Road, Nal Stop, Erandwane, Pune",800,"3.8"
5,"Kalinga Restaurant & Bar","Shop 15A, Patil Arcade, Off Karve Road, Erandwane, Pune",1300,"3.8"
6,"Nitrobuzz","Plot 62, Raghuraj, Ground Floor, Indira Nagar Society, Near Mehendale Garage, Erandwane, Pune",600,"3.8"
7,"Olive Wheat Grape","96 Suvarnrekha Boulevard, Prabhat Road, Erandwane, Pune",1800,"3.8"
8,"Swami The Veg Heritage","Takshashila Hotels, Patil Road, Near Sanjeevan Hospital, Erandwane, Pune",600,"3.8"
9,"Aavees","6, Swawroop Complex, Near Kalmadi House, Karve Road, Erandwane, Pune",650,"3.8"
10,"Zannat Foods","Shop 12, Pune Mahanagar Palika Sevak Sahakar, Griharachana Akshay Sankul, Hanuman Nagar, Opposite SB Road, Erandwane, Pune",250,"3.8"
11,"Kavi - The Hangout Bar","70/2/B, Govind Chamber, Opposite Telephone Exchange, Karve Road, Erandwane, Pune",1300,"3.8"
12,"Abhishek Non Veg Restaurant","30 /1/1, Near Mehendale Garage, Erandwane, Pune",800,"3.7"
13,"Domino's Pizza","Shop 11, Padale Palace, Ground & 1st Floor, Erandwane, Pune",700,"3.7"
14,"16 Icy Rolls","Shop 5, Meenal Arcade, Nal Stop, Erandwane, Pune",300,"3.7"
15,"Sweekar Veg Restaurant","6/6, Chinoli Apartments, Karve Road, Erandwane, Pune",550,"3.7"
16,"Baba's Veg Non Veg","Shop 9, Survey 11/12, Ganesh Nagar, Erandwane, Pune",700,"3.7"
